,strDrink,idDrink,strAlcoholic,strCategory,strIngredient1,strIngredient10,strIngredient11,strIngredient12,strIngredient13,strIngredient14,strIngredient15,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9
46,Adam Sunrise,15567,Alcoholic,Ordinary Drink,Vodka,,,,,,,Lemonade,Water,Sugar,,,,,
47,Addington,17227,Alcoholic,Cocktail,Sweet Vermouth,,,,,,,Dry Vermouth,Soda Water,,,,,,
48,Addison,17228,Alcoholic,Cocktail,Gin,,,,,,,Vermouth,,,,,,,
49,Addison Special,14272,Alcoholic,Cocktail,Vodka,,,,,,,Grenadine,Orange juice,,,,,,
50,Adios Amigos Cocktail,17229,Alcoholic,Cocktail,Rum,,,,,,,Dry Vermouth,Cognac,Gin,Fresh Lime Juice,Sugar Syrup,Water,,
51,Adonis Cocktail,11007,Alcoholic,Ordinary Drink,Sweet Vermouth,,,,,,,Sherry,Orange bitters,,,,,,
52,Affair,11008,Alcoholic,Ordinary Drink,Strawberry schnapps,,,,,,,Orange juice,Cranberry juice,Club soda,,,,,
53,Affinity,11009,Alcoholic,Ordinary Drink,Scotch,,,,,,,Sweet Vermouth,Dry Vermouth,Orange bitters,,,,,
54,After Dinner Cocktail,11010,Alcoholic,Ordinary Drink,Apricot brandy,,,,,,,Triple sec,Lime,Lime,,,,,
55,After Five,13807,Alcoholic,Shot,Peppermint schnapps,,,,,,,Kahlua,Bailey's irish cream,,,,,,
56,After Supper Cocktail,11011,Alcoholic,Ordinary Drink,Triple sec,,,,,,,Apricot brandy,Lemon juice,,,,,,
57,After sex,15182,Alcoholic,Ordinary Drink,Vodka,,,,,,,Creme de Banane,Orange juice,,,,,,
58,Afterglow,12560,Non alcoholic,Cocktail,Grenadine,,,,,,,Orange juice,Pineapple juice,,,,,,
59,Afternoon,13162,Alcoholic,Coffee / Tea,Kahlua,,,,,,,Bailey's irish cream,Frangelico,Coffee,Cream,,,,
60,Alabama Slammer,11012,Alcoholic,Ordinary Drink,Southern Comfort,,,,,,,Amaretto,Sloe gin,Lemon juice,,,,,
61,Alaska Cocktail,11013,Alcoholic,Ordinary Drink,Orange bitters,,,,,,,Gin,Yellow Chartreuse,Lemon peel,,,,,
